Age,C1,C2
40-44,0.033,0.009355496
45-49,0.033,0.010288903
50-54,0.033,0.010848761
55-59,0.047,0.011408479
60-64,0.047,0.011408479
65-69,0.089,0.013086793
70-74,0.089,0.015881188
75-79,0.129,0.018300173
80+,0.129,0.036267032
