Age,C1,C2
40-44,0.02475,0.001124579
45-49,0.02475,0.001124579
50-54,0.02475,0.001124579
55-59,0.03525,0.001124579
60-64,0.03525,0.001124579
65-69,0.06675,0.001124579
70-74,0.06675,0.001124579
75-79,0.09675,0.001124579
80+,0.09675,0.001124579
