,p.CVD_MI,p.W_D
40 to 44,0.439144735,0.000314961
45 to 49,0.477171746,0.000400509
50 to 54,0.516342689,0.000541325
55 to 59,0.546221896,0.000755518
60 to 64,0.57499642,0.001064351
65 to 69,0.598717846,0.001684001
70 to 74,0.636006616,0.002430133
75 to 79,0.679314313,0.003488435
80 to 85,0.667742106,0.006586621
85 +,0.667742106,0.011306893
