Age,Mean,SME
40 to 44,0.166655751,0.00362228
45 to 49,0.218984423,0.003835943
50 to 54,0.229436127,0.003511706
55 to 59,0.267244273,0.002983438
60 to 64,0.279815066,0.00205296
65 to 69,0.284105542,0.001923397
70 to 74,0.263010086,0.001730549
75 to 79,0.261789735,0.001820026
80 +,0.22904383,0.002656772
