Age,Mean,SME
40 to 44,0.214417827,0.002937678
45 to 49,0.261477032,0.002819779
50 to 54,0.311155499,0.002956068
55 to 59,0.32655662,0.00265531
60 to 64,0.325794435,0.00251507
65 to 69,0.317905045,0.002121291
70 to 74,0.302201137,0.001916895
75 to 79,0.290014599,0.001785372
80 +,0.264851608,0.003035606
