Age,Mean,SME
 40-44 years,0.439287522,0.002102125
 45-49 years,0.477417569,0.002867466
 50-54 years,0.516850471,0.00453952
 55-59 years,0.546831278,0.005854552
 60-64 years,0.575563091,0.005866938
 65-69 years,0.599082886,0.005219907
 70-74 years,0.636322938,0.004892739
 75-79 years,0.679790509,0.005086879
80+,0.668485045,0.003594668
