Age,C1,C2
40-44,0.297,0.001415664
45-49,0.297,0.001415664
50-54,0.297,0.001998001
55-59,0.297,0.002663114
60-64,0.297,0.003244724
65-69,0.297,0.004406928
70-74,0.297,0.005484903
75-79,0.297,0.006975557
80+,0.297,0.010445067
