Age,C1,C2
40-44,0.297,0.001082747
45-49,0.297,0.001831654
50-54,0.297,0.002912417
55-59,0.297,0.003244724
60-64,0.297,0.003493882
65-69,0.297,0.004240982
70-74,0.297,0.004987521
75-79,0.297,0.005982036
80+,0.297,0.009785144
