Age,C1,C2
40-44,0.033,0.004157998
45-49,0.033,0.004572846
50-54,0.033,0.004821672
55-59,0.047,0.005070435
60-64,0.047,0.005070435
65-69,0.089,0.005816352
70-74,0.089,0.007058306
75-79,0.129,0.00813341
80+,0.129,0.016118681
