Age,C1,C2
40-44,0.033,0.000749719
45-49,0.033,0.002829323
50-54,0.033,0.003078585
55-59,0.047,0.003659953
60-64,0.047,0.004240982
65-69,0.089,0.004738737
70-74,0.089,0.004987521
75-79,0.129,0.005567775
80+,0.129,0.012915865
